Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
51,4/9/26 8:25 PM,G-Dog Point Sauvignon Blanc,BY THE GLASS,BEVERAGE,Wine,15.00,1.0,false
46,4/9/26 8:26 PM,Ssam,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
46,4/9/26 8:26 PM,Dwenjang Cured Pork Belly,For the Grill,FOOD,Food,24.00,1.0,false
46,4/9/26 8:26 PM,A5 Waygu Chobap,For the Table,FOOD,Food,32.00,2.0,false
45,4/9/26 8:28 PM,Ssam,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
45,4/9/26 8:28 PM,Pa-Muchim,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
45,4/9/26 8:28 PM,Marinated Short Rib,For the Grill,FOOD,Food,28.00,1.0,false
45,4/9/26 8:28 PM,Dwenjang Potatoes,For the Table,FOOD,Food,15.00,1.0,false
45,4/9/26 8:28 PM,Garlic Rice,Stews/Rice,FOOD,Food,11.00,1.0,false
53,4/9/26 8:34 PM,Diet Coke,NA BEVERAGES,BEVERAGE,NA Beverage,5.00,1.0,false
53,4/9/26 8:34 PM,Cloud 9,COCKTAILS,BEVERAGE,Liquor,16.00,1.0,false
53,4/9/26 8:35 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
52,4/9/26 8:35 PM,5pc Chicken Tenders,SIR CHICKEN,BAR/PATIO,Sir Chicken,14.00,1.0,false
53,4/9/26 8:35 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
53,4/9/26 8:35 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
44,4/9/26 8:37 PM,Set Refill,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
43,4/9/26 8:39 PM,Set Refill,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
47,4/9/26 8:53 PM,Q Club Soda,NA BEVERAGES,BEVERAGE,NA Beverage,5.00,1.0,false
44,4/9/26 8:53 PM,Set Refill,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
46,4/9/26 8:58 PM,Smoke & Spice,COCKTAILS,BEVERAGE,Liquor,16.00,1.0,false
53,4/9/26 9:00 PM,Ssam,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
53,4/9/26 9:00 PM,Pa-Muchim,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
53,4/9/26 9:00 PM,Dweji Board,For the Grill,FOOD,Food,45.00,1.0,false
53,4/9/26 9:00 PM,Classic Tasting Plate,For the Grill,FOOD,Food,45.00,1.0,false
53,4/9/26 9:00 PM,1/2 Shishitos,,,Food,5.00,1.0,false
53,4/9/26 9:00 PM,1/2 Pancake,,,Food,9.00,1.0,false
53,4/9/26 9:00 PM,1/2 Kimchi Fried Rice,Stews/Rice,FOOD,Food,10.00,1.0,false
53,4/9/26 9:00 PM,Kimchi Jjigae,Stews/Rice,FOOD,Food,16.00,1.0,false
53,4/9/26 9:00 PM,A5 Waygu Chobap,For the Table,FOOD,Food,32.00,2.0,false
53,4/9/26 9:08 PM,Cloud 9,COCKTAILS,BEVERAGE,Liquor,16.00,1.0,false
44,4/9/26 9:10 PM,Soondubu Jjigae,Stews/Rice,FOOD,Food,16.00,1.0,false
44,4/9/26 9:12 PM,Set Refill,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
53,4/9/26 9:26 PM,Set Refill,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
44,4/9/26 9:27 PM,Set Refill,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
53,4/9/26 9:33 PM,Diet Coke,NA BEVERAGES,BEVERAGE,NA Beverage,5.00,1.0,false
2,4/10/26 4:59 PM,1L Mtn Spring,NA BEVERAGES,BEVERAGE,NA Beverage,0.00,1.0,false
3,4/10/26 5:02 PM,Bulgogi Rice Bowl,PLATES & BOWLS,PERILLA TO-GO,Food,27.00,1.0,false
3,4/10/26 5:02 PM,Kimchi Fried Rice Arancini,STARTERS,PERILLA TO-GO,Food,12.00,1.0,false
3,4/10/26 5:02 PM,Chopsticks,UTENSILS,PERILLA TO-GO,Food,0.00,2.0,false
4,4/10/26 5:03 PM,Scallion Muchim,BANCHAN,PERILLA TO-GO,Food,6.00,1.0,false
4,4/10/26 5:03 PM,Soondubu Jigae,STEWS,PERILLA TO-GO,Food,18.00,1.0,false
4,4/10/26 5:03 PM,Bibimbop,PLATES & BOWLS,PERILLA TO-GO,Food,18.00,1.0,false
4,4/10/26 5:03 PM,Dwenjang Potatoes,STARTERS,PERILLA TO-GO,Food,30.00,2.0,false
4,4/10/26 5:03 PM,Vegetable Dumplings,STARTERS,PERILLA TO-GO,Food,28.00,2.0,false
4,4/10/26 5:03 PM,Kimchi Fried Rice Arancini,STARTERS,PERILLA TO-GO,Food,24.00,2.0,false
4,4/10/26 5:03 PM,Pork Dumplings,STARTERS,PERILLA TO-GO,Food,14.00,1.0,false
4,4/10/26 5:03 PM,Scallion Pancake,STARTERS,PERILLA TO-GO,Food,32.00,2.0,false
4,4/10/26 5:03 PM,Bulgogi,MAINS,PERILLA TO-GO,Food,32.00,1.0,false
4,4/10/26 5:03 PM,3pc Chicken Tenders,SIR CHICKEN TO-GO,SIR CHICKEN TO-GO,Sir Chicken,10.00,1.0,false
5,4/10/26 5:05 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
5,4/10/26 5:05 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
5,4/10/26 5:05 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
